title,genre,publisher,avg_ratings,na_sales,pal_sales,jp_sales,other_sales,total_sales,release_date,release_year
""The Simpsons: Road Rage"",Racing,""Electronic Arts"",6,2.99,1.48,NULL,0.44,4.9,2001-11-24,2001
""Midnight Club: Los Angeles"",Racing,""Rockstar Games"",8.2,3.31,0.99,0.06,0.55,4.9,2008-10-20,2008
""Guitar Hero 5"",Misc,""Activision"",8.9,2.38,1.54,NULL,0.97,4.9,2009-09-01,2009
""FIFA Soccer 2005"",Sports,""EA Sports"",8.2,1.08,3.13,0.04,0.63,4.89,2004-10-09,2004
""Enter the Matrix"",Action,""Atari"",6.5,2.84,1.64,0.12,0.24,4.83,2003-05-14,2003
""Crash Team Racing"",Racing,""Sony Computer Entertainment"",9.2,2.57,1.57,0.44,0.21,4.79,1999-09-30,1999
""Saints Row 2"",Action,""THQ"",7.7,2.86,1.36,0.04,0.53,4.79,2008-10-14,2008
""Tom Clancy's Ghost Recon Wildlands"",Shooter,""Ubisoft"",7.4,2.05,1.87,0.22,0.62,4.77,2017-03-07,2017
""Skate 3"",Sports,""EA Sports"",8.3,2.26,1.92,NULL,0.57,4.74,2010-05-11,2010
""Driver 2"",Action,""Atari"",7,2.36,2.1,0.02,0.25,4.73,2000-11-13,2000
""Dragon Age: Origins"",Role-Playing,""Electronic Arts"",8.8,2.72,1.43,0.11,0.47,4.73,2009-11-03,2009
""The Elder Scrolls IV: Oblivion"",Role-Playing,""Take-Two Interactive"",9.2,2.9,1.24,0.13,0.45,4.72,2009-07-07,2009
""Watch Dogs 2"",Action,""Ubisoft"",NULL,1.69,2.27,0.12,0.64,4.71,2016-11-15,2016
""WWF War Zone"",Fighting,""Acclaim Entertainment"",NULL,3.55,1,NULL,0.15,4.69,1998-01-01,1998
""Grand Theft Auto: Episodes from Liberty City"",Adventure,""Rockstar Games"",9,1.7,2.21,0.16,0.61,4.69,2009-10-29,2009
""Just Dance 2015"",Music,""Ubisoft"",8.1,2.54,1.67,NULL,0.48,4.68,2014-10-21,2014
""NBA 2K19"",Sports,""2K Sports"",NULL,3.4,0.54,0.04,0.68,4.67,2018-09-11,2018
""Dead Island"",Action,""Deep Silver"",6.9,2.56,1.44,0.15,0.53,4.67,2011-09-06,2011
""Assassin's Creed Odyssey"",Action-Adventure,""Ubisoft"",9.5,2.09,1.81,0.09,0.64,4.63,2018-10-05,2018
""Batman: Arkham Origins"",Action-Adventure,""Warner Bros. Interactive Entertainment"",NULL,2.42,1.56,0.04,0.6,4.62,2013-10-25,2013
""Forza Motorsport 4"",Racing,""Microsoft Studios"",9.1,2.08,1.98,0.06,0.49,4.6,2011-10-11,2011
""Namco Museum: 50th Anniversary"",Misc,""Namco"",NULL,2.52,1.48,NULL,0.56,4.57,2005-08-30,2005
""Star Wars Episode III: Revenge of the Sith"",Action,""LucasArts"",NULL,2.29,1.77,0.03,0.47,4.56,2005-05-04,2005
""Max Payne"",Shooter,""Rockstar Games"",8.4,2.97,1.24,0.05,0.27,4.53,2001-07-23,2001
""Madden NFL 18"",Sports,""EA Sports"",8.5,3.36,0.49,NULL,0.67,4.53,2017-08-25,2017
""World Soccer Winning Eleven 9"",Sports,""Konami"",8.9,0.18,2.59,0.92,0.8,4.5,2006-02-07,2006
""Call of Duty: Finest Hour"",Shooter,""Activision"",7.7,2.6,1.6,0.01,0.29,4.5,2004-11-16,2004
""Pro Evolution Soccer 2011"",Sports,""Konami"",6,0.54,2.28,0.91,0.78,4.5,2010-10-05,2010
""Ben 10: Protector of Earth"",Action,""D3 Publisher"",NULL,1.54,1.68,NULL,1.24,4.49,2007-10-30,2007
""Marvel: Ultimate Alliance"",Role-Playing,""Activision"",7.3,4.01,0.08,NULL,0.39,4.48,2006-10-24,2006
""Rayman Legends"",Platform,""Ubisoft"",7,1.17,2.76,0.03,0.52,4.48,2013-09-03,2013
""Skylanders SWAP Force"",Platform,""Activision"",7.7,2.62,1.41,NULL,0.4,4.43,2013-10-13,2013
""Lego Batman 3: Beyond Gotham"",Action,""Warner Bros. Interactive Entertainment"",7.4,1.9,1.98,NULL,0.57,4.43,2014-11-11,2014
""SpongeBob SquarePants: Battle for Bikini Bottom"",Platform,""THQ"",6.6,3.15,1.07,NULL,0.21,4.42,2003-10-31,2003
""Tomb Raider (2013)"",Action,""Square Enix"",8.7,1.46,2.32,0.09,0.54,4.41,2013-03-05,2013
""LEGO Harry Potter: Years 5-7"",Action,""Warner Bros. Interactive"",9,2.08,1.83,NULL,0.52,4.41,2011-11-11,2011
""Ratatouille"",Platform,""THQ"",6.2,2.03,1.36,NULL,0.99,4.41,2007-06-26,2007
""Midnight Club 3: DUB Edition"",Racing,""Rockstar Games"",7.2,2.26,1.32,NULL,0.82,4.4,2005-04-11,2005
""FIFA Soccer 2004"",Sports,""EA Sports"",7.8,0.92,2.87,0.04,0.56,4.4,2003-11-04,2003
""The Sims 2"",Simulation,""Electronic Arts"",7.6,2.72,1.1,NULL,0.57,4.39,2004-09-14,2004
""Asteroids"",Shooter,""Atari"",NULL,4,0.26,NULL,0.05,4.31,1981-01-01,1981
""Battlefield: Hardline"",Shooter,""Electronic Arts"",NULL,1.78,1.75,0.23,0.54,4.29,2015-03-17,2015
""Guitar Hero: Aerosmith"",Misc,""Activision"",NULL,3.37,0.42,0,0.49,4.29,2008-06-29,2008
""Hitman 2: Silent Assassin"",Action,""Eidos Interactive"",8.3,2.22,1.56,0.04,0.46,4.28,2002-09-30,2002
""Destiny: The Taken King"",Shooter,""Activision"",NULL,2.37,1.23,0.08,0.59,4.28,2015-09-15,2015
""BioShock"",Shooter,""2K Games"",9.5,2.4,1.33,0.06,0.49,4.27,2007-08-21,2007
""Disney Infinity"",Misc,""Disney Interactive Studios"",NULL,2.64,1.13,NULL,0.49,4.26,2013-08-18,2013
""ESPN NFL 2K5"",Sports,""Sega"",NULL,3.69,0.14,NULL,0.43,4.25,2004-07-20,2004
""LEGO Dimensions"",Action,""Warner Bros. Interactive Entertainment"",NULL,2.07,1.62,NULL,0.54,4.23,2015-09-27,2015
""Disney Infinity 2.0: Marvel Super Heroes"",Action-Adventure,""Disney Interactive Studios"",8,2.32,1.36,NULL,0.54,4.23,2014-09-23,2014
""Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City"",Action,""Rockstar Games"",9.8,2.69,1.22,NULL,0.31,4.21,2003-10-21,2003
""Need for Speed: The Run"",Racing,""Electronic Arts"",5.9,1.5,2.05,0.04,0.63,4.21,2011-11-15,2011
""Teenage Mutant Ninja Turtles"",Platform,""Ultra Games"",5.9,3.38,0.44,0.31,0.04,4.17,1989-06-01,1989
""Frogger"",Action,""Hasbro Interactive"",NULL,3.79,0.27,NULL,0.11,4.16,1997-09-30,1997
""Tomb Raider III: Adventures of Lara Croft"",Adventure,""Eidos Interactive"",7.8,2.25,1.61,0.12,0.18,4.16,1998-11-21,1998
""FIFA Soccer 2003"",Sports,""EA Sports"",6.9,0.76,2.71,0.05,0.65,4.16,2002-11-02,2002
""Sonic Generations"",Platform,""Sega"",7.4,1.77,1.85,0.03,0.48,4.15,2011-11-01,2011
""The Beatles: Rock Band"",Misc,""MTV Games"",8.9,2.81,0.91,NULL,0.41,4.14,2009-09-09,2009
""Call of Duty 2: Big Red One"",Shooter,""Activision"",8,2.39,1.39,0.01,0.32,4.12,2005-11-01,2005
""Madden NFL 25"",Sports,""EA Sports"",7.4,3.35,0.28,NULL,0.51,4.12,2013-08-27,2013
""Batman: Arkham Knight"",Action,""Warner Bros. Interactive"",8.1,1.65,1.68,0.11,0.66,4.11,2015-06-23,2015
""Monopoly"",Misc,""Hasbro Interactive"",NULL,2.84,1.12,NULL,0.15,4.11,1995-01-01,1995
""Tony Hawk's Underground 2"",Sports,""Activision"",8.6,2.46,1.33,0.01,0.31,4.11,2004-10-04,2004
""Carnival Games"",Misc,""Global Star Software"",4.2,2.12,1.47,0.05,0.42,4.06,2007-08-28,2007
""Forza Motorsport 2"",Racing,""Microsoft Game Studios"",9.1,2.35,1.27,0.03,0.41,4.05,2007-05-29,2007
""Namco Museum Vol.3"",Misc,""Namco"",NULL,2.28,1.55,0.16,0.06,4.05,1997-01-31,1997
""Tekken Tag Tournament"",Fighting,""Namco"",8.7,1.68,1.51,0.51,0.35,4.05,2000-10-25,2000
""Ratchet & Clank: Size Matters"",Platform,""Sony Computer Entertainment"",8.5,1.53,1.5,0.13,0.89,4.04,2007-02-13,2007
""Mortal Kombat vs DC Universe"",Fighting,""Midway Games"",7.6,3.1,0.52,NULL,0.43,4.04,2008-11-16,2008
""Rugrats in Paris: The Movie"",Action,""THQ"",NULL,2.36,1.42,NULL,0.24,4.02,2000-10-29,2000
""Tetris Worlds"",Puzzle,""THQ"",4.6,2.53,1.14,NULL,0.34,4.01,2001-09-05,2001
""Burnout 3: Takedown"",Racing,""Electronic Arts"",9.3,2.07,1.54,NULL,0.38,3.99,2004-09-07,2004
""Dead Space"",Shooter,""Electronic Arts"",8.9,1.94,1.59,NULL,0.48,3.99,2008-10-13,2008
""Mafia III"",Action-Adventure,""2K Games"",6.7,1.26,2.15,0.04,0.53,3.98,2016-10-07,2016
""Far Cry: Primal"",Action-Adventure,""Ubisoft"",7.7,1.21,2.18,0.07,0.52,3.98,2016-02-23,2016
""Star Wars: The Force Unleashed II"",Action,""LucasArts"",6.1,2.48,1.09,NULL,0.41,3.98,2010-10-26,2010
""Tom Clancy's Ghost Recon"",Shooter,""Ubisoft"",NULL,2.86,0.9,NULL,0.2,3.97,2001-11-13,2001
""The Sims 2: Pets"",Simulation,""Electronic Arts"",5.8,1.76,1.43,NULL,0.76,3.95,2006-10-17,2006
""Tom Clancy's Rainbow Six: Vegas"",Shooter,""Ubisoft"",7.3,1.98,1.38,0.05,0.55,3.95,2006-11-20,2006
""World Soccer Winning Eleven 8 International"",Sports,""Konami"",9.3,0.23,1.91,1.12,0.68,3.94,2005-02-01,2005
""NBA Live 2005"",Sports,""EA Sports"",8.5,3.19,0.35,NULL,0.4,3.94,2004-09-28,2004
""Harry Potter and the Sorcerer's Stone"",Action,""Electronic Arts"",7.3,2.07,1.47,0.18,0.2,3.91,2001-11-15,2001
""Sports Champions"",Sports,""Sony Computer Entertainment"",7.6,2.15,1.13,0.1,0.5,3.88,2010-09-17,2010
""Metal Gear Solid V: The Phantom Pain"",Action,""Konami Digital Entertainment"",NULL,1.46,1.4,0.52,0.49,3.87,2015-09-01,2015
""Battlefield V"",Shooter,""Electronic Arts"",NULL,1.85,1.37,0.16,0.5,3.87,2018-11-20,2018
""Diablo III: Ultimate Evil Edition"",Role-Playing,""Blizzard Entertainment"",NULL,1.45,1.8,0.08,0.53,3.86,2014-08-19,2014
""Namco Museum Vol.1"",Misc,""Namco"",NULL,2.12,1.44,0.22,0.06,3.84,1996-07-31,1996
""Sonic's Ultimate Genesis Collection"",Misc,""Sega"",8.1,2.29,1.08,NULL,0.47,3.84,2009-02-10,2009
""Rocksmith 2014"",Music,""Ubisoft"",8.9,2.37,0.91,0.05,0.49,3.84,2013-10-22,2013
""UFC 2009 Undisputed"",Fighting,""THQ"",8.4,2.55,0.84,0.01,0.43,3.83,2009-05-19,2009
""Madden NFL 2001"",Sports,""EA Sports"",NULL,3.37,0.15,0.05,0.25,3.81,2000-08-22,2000
""Rocket League"",Sports,""505 Games"",8.6,1.1,2.25,NULL,0.45,3.8,2016-07-05,2016
""Minecraft: Story Mode"",Adventure,""Mojang"",NULL,1.8,1.54,NULL,0.48,3.8,2015-10-27,2015
""Portal 2"",Shooter,""Valve"",9.6,2.24,1.11,0.03,0.41,3.79,2011-04-19,2011
""BioShock Infinite"",Shooter,""2K Games"",9.5,1.96,1.29,0.06,0.48,3.79,2013-03-26,2013
""Tom Clancy's Rainbow Six: Vegas 2"",Shooter,""Ubisoft"",8.2,2.22,1.08,0.06,0.43,3.78,2008-03-18,2008
""The Sims: Unleashed"",Simulation,""Electronic Arts"",7.3,2.03,1.56,NULL,0.17,3.76,2002-09-23,2002
""Hitman: Absolution"",Action,""Square Enix"",9,1.27,1.96,0.08,0.45,3.76,2012-11-20,2012
""Mortal Kombat Trilogy"",Fighting,""Midway Games"",NULL,2.7,0.92,NULL,0.13,3.75,1996-09-01,1996
""BioShock 2"",Shooter,""2K Games"",8.5,2.3,1,0.04,0.42,3.75,2010-02-09,2010
""WWE SmackDown vs. RAW 2007"",Fighting,""THQ"",7.9,2.17,1.11,0.03,0.44,3.74,2006-11-14,2006
""Madden NFL 07"",Sports,""EA Sports"",8,3.38,0.2,0.01,0.19,3.74,2006-08-22,2006
""Need for Speed: Hot Pursuit 2"",Racing,""Electronic Arts"",7.8,3.04,0.51,0.02,0.14,3.73,2002-10-01,2002
""Madden NFL 19"",Sports,""EA Sports"",NULL,2.96,0.2,NULL,0.57,3.72,2018-08-10,2018
""007: Quantum of Solace"",Shooter,""Activision"",6.6,1.71,1.3,0.04,0.66,3.7,2008-11-04,2008
""LEGO The Lord of the Rings"",Misc,""Warner Bros. Interactive Entertainment"",NULL,1.58,1.68,NULL,0.42,3.69,2012-10-30,2012
""The Sims"",Simulation,""Electronic Arts"",NULL,2.07,1.35,NULL,0.26,3.68,2000-02-04,2000
""Spider-Man"",Action,""Activision"",8.4,2.13,1.34,0.02,0.17,3.66,2000-08-30,2000
""SOCOM: U.S. Navy SEALs"",Shooter,""Sony Computer Entertainment"",8,2.53,0.81,0.06,0.24,3.65,2002-08-27,2002
""Jak and Daxter: The Precursor Legacy"",Platform,""Sony Computer Entertainment"",9,2.08,1.09,0.15,0.33,3.64,2001-12-04,2001
""SimCity 2000"",Simulation,""Maxis"",8,1.88,1.3,0.28,0.18,3.64,1993-01-01,1993
""Finding Nemo"",Action,""THQ"",NULL,2.43,0.94,0.05,0.22,3.64,2003-05-05,2003
""Prince of Persia: The Sands of Time"",Adventure,""Ubisoft"",9,1.81,1.46,NULL,0.36,3.63,2003-10-30,2003
""Pro Evolution Soccer 2012"",Sports,""Konami"",7.4,0.63,1.58,0.93,0.49,3.63,2011-09-27,2011
""High School Musical: Sing It!"",Misc,""Disney Interactive Studios"",6.4,1.62,0.53,NULL,1.49,3.63,2007-10-30,2007
""WWE SmackDown vs. Raw 2009"",Fighting,""THQ"",8,2.08,1.09,0.01,0.43,3.62,2008-11-09,2008
""Doom II"",Shooter,""GT Interactive"",9.3,2.05,1.4,NULL,0.16,3.61,1994-09-30,1994
""WWF SmackDown!"",Fighting,""THQ"",9,2.01,1.35,0.06,0.16,3.58,2000-03-01,2000
""Cooking Mama 2: Dinner With Friends"",Simulation,""Majesco"",6.9,1.6,1.49,0.1,0.39,3.58,2007-11-13,2007
""The Getaway"",Action,""Sony Computer Entertainment"",7.7,1.23,1.77,0.05,0.49,3.54,2003-01-19,2003
""James Bond 007: Everything or Nothing"",Shooter,""Electronic Arts"",7.2,1.72,1.37,0.09,0.35,3.54,2003-11-17,2003
""Skylanders: Trap Team"",Platform,""Activision"",NULL,1.83,1.28,NULL,0.41,3.53,2014-10-05,2014
""Monopoly"",Misc,""Electronic Arts"",NULL,1.81,1.34,0,0.36,3.52,2008-10-20,2008
""Iron Man"",Action,""Sega"",5.3,2.06,0.92,NULL,0.56,3.52,2008-05-02,2008
""Need for Speed (2015)"",Racing,""Electronic Arts"",6.8,0.94,2.04,0.06,0.47,3.51,2015-11-03,2015
""Cars 2"",Racing,""Disney Interactive Studios"",7.4,1.92,1.17,0.04,0.4,3.51,2011-06-21,2011
""WWE SmackDown vs. Raw 2011"",Fighting,""THQ"",7.1,1.63,1.32,0.01,0.54,3.51,2010-10-26,2010
""Max Payne 3"",Shooter,""Rockstar Games"",9,1.45,1.55,0.07,0.4,3.49,2012-05-15,2012
""Guitar Hero: On Tour"",Misc,""Activision"",7.1,2.1,1.01,0.01,0.35,3.46,2008-06-22,2008
""Mortal Kombat: Deadly Alliance"",Fighting,""Midway Games"",8.2,2.59,0.67,NULL,0.19,3.46,2002-11-16,2002
""Sonic & SEGA All-Stars Racing"",Racing,""Sega"",8.1,1.4,1.64,NULL,0.42,3.46,2010-02-23,2010
""Far Cry 2"",Shooter,""Ubisoft"",8.4,1.16,1.83,0.03,0.46,3.45,2008-10-21,2008
""Deus Ex: Human Revolution"",Shooter,""Square Enix"",8.7,1.57,1.38,0.09,0.43,3.45,2011-08-23,2011
""Tekken 4"",Fighting,""Namco"",7.9,1.55,1.27,0.33,0.29,3.44,2002-09-23,2002
""Halo: The Master Chief Collection"",Shooter,""Microsoft Studios"",8.8,2.06,1.04,0.03,0.31,3.44,2014-11-11,2014
""Madagascar"",Platform,""Activision"",6.4,2.38,0.91,NULL,0.15,3.44,2005-05-23,2005
""James Cameron's Avatar: The Game"",Action,""Ubisoft"",5.7,1.38,1.57,NULL,0.48,3.44,2009-12-01,2009
""LittleBigPlanet 2"",Platform,""Sony Computer Entertainment"",9.1,1.83,1.07,0.06,0.47,3.43,2011-01-18,2011
""The Elder Scrolls Online: Tamriel Unlimited"",MMO,""Bethesda Softworks"",NULL,1.6,1.37,NULL,0.46,3.43,2015-06-09,2015
""Shrek 2"",Platform,""Activision"",6.4,2.25,1.08,0.04,0.07,3.43,2004-04-28,2004
""Crysis 2"",Shooter,""Electronic Arts"",8.7,1.37,1.52,0.08,0.47,3.43,2011-03-22,2011
""Grand Theft Auto 2"",Action,""Rockstar Games"",6.9,1.13,2.07,NULL,0.22,3.42,1999-10-25,1999
""Spider-Man 3"",Platform,""Activision"",6,2.35,0.64,0.03,0.41,3.41,2007-05-04,2007
""Crash Bash"",Misc,""Sony Computer Entertainment"",6.8,1.56,1.47,0.19,0.17,3.39,2000-11-06,2000
""Final Fantasy XIII-2"",Role-Playing,""Square Enix"",8.1,1.14,1.04,0.91,0.29,3.39,2012-01-31,2012
""Peter Jackson's King Kong: The Official Game of the Movie"",Action,""Ubisoft"",7,1.72,1.28,NULL,0.39,3.39,2005-11-21,2005
""Gears of War 4"",Shooter,""Microsoft Studios"",NULL,2.17,0.9,NULL,0.32,3.38,2016-10-11,2016
""Band Hero"",Misc,""Activision"",7,1.88,0.98,NULL,0.53,3.38,2009-11-03,2009
""Pure"",Racing,""Disney Interactive Studios"",7.4,1.8,1.17,0,0.39,3.36,2008-09-16,2008
""X-Men Legends"",Role-Playing,""Activision"",8.5,2.03,1.07,NULL,0.26,3.36,2004-09-21,2004
""Just Cause 2"",Action,""Square Enix"",8.2,1.04,1.75,0.08,0.49,3.35,2010-03-23,2010
""Transformers: The Game"",Action,""Activision"",4.8,2.19,0.74,0.01,0.41,3.34,2007-06-19,2007
""Ghostbusters: The Video Game"",Action,""Atari"",7.2,1.91,0.88,NULL,0.57,3.34,2009-06-16,2009
""Burnout Paradise"",Racing,""Electronic Arts"",9,1.64,1.2,0.03,0.42,3.3,2008-01-22,2008
""Titanfall 2"",Shooter,""Electronic Arts"",8.9,1.69,1.11,0.06,0.42,3.29,2016-10-28,2016
""Rage"",Shooter,""Bethesda Softworks"",7.9,1.43,1.37,0.09,0.4,3.29,2011-10-04,2011
""Dishonored"",Shooter,""Bethesda Softworks"",NULL,1.78,1.04,0.05,0.41,3.27,2013-04-16,2013
""Dead Space 2"",Shooter,""Electronic Arts"",9,1.8,1.08,NULL,0.38,3.27,2011-01-25,2011
""Middle-Earth: Shadow of War"",Action,""Warner Bros. Interactive Entertainment"",NULL,1.6,1.17,0.06,0.45,3.26,2017-10-10,2017
""The SpongeBob SquarePants Movie"",Platform,""THQ"",6.5,2.19,0.85,NULL,0.21,3.24,2004-10-27,2004
""Tomb Raider: Underworld"",Adventure,""Eidos Interactive"",7.4,1.35,1.37,0.06,0.44,3.23,2008-11-18,2008
""Harry Potter and the Half-Blood Prince"",Action,""Electronic Arts"",6,1.12,1.29,0,0.8,3.22,2009-06-30,2009
""007: Tomorrow Never Dies"",Shooter,""Electronic Arts"",6.2,1.72,1.33,NULL,0.16,3.21,1999-11-16,1999
""NBA Street"",Sports,""EA Sports BIG"",NULL,2.52,0.31,NULL,0.39,3.21,2001-06-18,2001
""Saints Row IV"",Action,""Deep Silver"",NULL,1.7,1.02,0.1,0.38,3.21,2013-08-20,2013
""WWE 2K15"",Sports,""2K Sports"",NULL,1.47,1.3,NULL,0.43,3.21,2014-10-28,2014
""WWF SmackDown! 2: Know Your Role"",Fighting,""THQ"",8.7,1.76,1.21,0.07,0.16,3.2,2000-11-21,2000
""Wolfenstein: The New Order"",Shooter,""Bethesda Softworks"",NULL,1.19,1.53,0.05,0.41,3.2,2014-05-20,2014
""Plants vs Zombies: Garden Warfare"",Shooter,""Electronic Arts"",7.8,1.39,1.39,0.02,0.37,3.18,2014-02-25,2014
""NBA Street Vol. 2"",Sports,""EA Sports BIG"",8.8,2.72,0.35,NULL,0.09,3.17,2003-04-28,2003
""Just Cause 3"",Action-Adventure,""Square Enix"",7.4,1.08,1.6,0.09,0.4,3.15,2015-12-01,2015
""Lego Star Wars: The Force Awakens"",Action-Adventure,""Warner Bros. Interactive Entertainment"",NULL,0.88,1.78,0.08,0.38,3.15,2016-06-28,2016
""Club Penguin: Elite Penguin Force"",Adventure,""Disney Interactive Studios"",7,1.87,0.97,NULL,0.3,3.14,2008-11-25,2008
""The Elder Scrolls IV: Oblivion"",Role-Playing,""Bethesda Softworks"",9.3,1.69,0.86,0.14,0.44,3.12,2006-03-20,2006
""Need for Speed III: Hot Pursuit"",Racing,""Electronic Arts"",NULL,2.14,0.86,NULL,0.13,3.12,1998-03-25,1998
""The Urbz: Sims in the City"",Simulation,""Electronic Arts"",7.6,1.35,1.42,NULL,0.35,3.12,2004-11-09,2004
""LEGO Marvel's Avengers"",Action,""Warner Bros. Interactive Entertainment"",NULL,1.15,1.54,0.05,0.39,3.12,2016-01-26,2016
""Dishonored 2"",Action,""Bethesda Softworks"",NULL,1.17,1.5,0.01,0.41,3.09,2016-11-10,2016
""The Sims 2: Castaway"",Simulation,""Electronic Arts"",NULL,1.44,1.14,NULL,0.49,3.09,2007-10-22,2007
""DJ Hero"",Misc,""Activision"",8.4,1.58,0.98,NULL,0.54,3.09,2009-10-27,2009
""MySims Kingdom"",Simulation,""Electronic Arts"",NULL,1.5,1.23,0.02,0.32,3.08,2008-10-28,2008
""The Sims: Vacation"",Simulation,""Electronic Arts"",NULL,1.72,1.21,NULL,0.14,3.07,2002-03-25,2002
""Just Dance 2016"",Music,""Ubisoft"",NULL,1.59,1.12,NULL,0.33,3.06,2015-10-20,2015
""Tiger Woods PGA Tour 08"",Sports,""Electronic Arts"",7.4,1.97,0.71,NULL,0.4,3.06,2007-08-28,2007
""Grand Theft Auto: San Andreas"",Action,""Rockstar Games"",9.4,1.35,1.56,NULL,0.14,3.05,2004-10-26,2004
""Mafia II"",Action,""2K Games"",7.3,1.35,1.25,0.04,0.4,3.05,2010-08-24,2010
""Rayman"",Platform,""Ubisoft"",7.8,1.54,1.33,NULL,0.16,3.03,1995-01-01,1995
""The Orange Box"",Shooter,""Electronic Arts"",9.4,1.37,1.22,0.02,0.4,3.03,2007-10-10,2007
""Guitar Hero Live"",Music,""Activision"",NULL,1.58,1.05,NULL,0.4,3.03,2015-10-20,2015
""Crazy Taxi"",Racing,""Acclaim Entertainment"",7.7,1.49,1.21,0.08,0.23,3.01,2001-05-14,2001
""Tiger Woods PGA Tour 10"",Sports,""EA Sports"",8.4,1.65,0.9,NULL,0.45,3,2009-06-08,2009
""The Sims: Livin Large"",Misc,""Electronic Arts"",NULL,1.67,1.18,NULL,0.13,2.99,2000-08-27,2000
""World Soccer Winning Eleven 6 International"",Sports,""Konami"",NULL,0.12,1.26,1.16,0.45,2.99,2003-03-11,2003
""SingStar"",Misc,""Sony Computer Entertainment"",8,0.45,1.93,NULL,0.61,2.99,2004-05-21,2004
""Dead Rising 2"",Action,""Capcom"",8,1.25,1.1,0.26,0.36,2.97,2010-09-28,2010
""2010 FIFA World Cup South Africa"",Sports,""EA Sports"",7.4,0.94,1.44,0.13,0.47,2.97,2010-04-27,2010
""Imagine: Fashion Designer"",Simulation,""Ubisoft"",3,1.43,1.21,NULL,0.31,2.96,2007-10-23,2007
""Zumba Fitness"",Sports,""Majesco"",NULL,2.02,0.66,NULL,0.27,2.96,2010-11-18,2010
""Bakugan: Battle Brawlers"",Action,""Activision"",6.4,2.45,0.26,NULL,0.24,2.96,2009-10-20,2009
""NBA 2K10"",Sports,""2K Sports"",6.8,2.63,0.05,0.01,0.26,2.96,2009-10-06,2009
